UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741450124410,1920x1080,1920x1080,750x422,72,5000,32,14.09.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450124810,1920x1080,1920x1080,750x422,72,5000,32,14.09.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450125212,1920x1080,1920x1080,750x422,56,5251,32,14.27.,14.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450125615,1920x1080,1920x1080,750x422,56,5251,32,14.27.,14.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450126018,1920x1080,1920x1080,750x422,34,5251,11,14.08.,14.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450126420,1920x1080,1920x1080,750x422,34,5251,11,14.08.,14.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450126821,1920x1080,1920x1080,750x422,34,5251,11,14.08.,14.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450127221,1920x1080,1920x1080,750x422,49,4778,11,14.29.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450127626,1920x1080,1920x1080,750x422,49,4778,11,14.29.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450128027,1920x1080,1920x1080,750x422,60,4778,6483,14.06.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450128430,1920x1080,1920x1080,750x422,60,4778,6483,14.06.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450128831,1920x1080,1920x1080,750x422,60,4778,6483,14.06.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450129231,1920x1080,1920x1080,750x422,56,5165,6483,14.25.,14.43.,avc1.64002A,mp4a.40.2,Low Latency
1741450129631,1920x1080,1920x1080,750x422,56,5165,6483,14.25.,14.43.,avc1.64002A,mp4a.40.2,Low Latency
1741450130031,1920x1080,1920x1080,750x422,37,5165,5783,14.04.,14.43.,avc1.64002A,mp4a.40.2,Low Latency
1741450130431,1920x1080,1920x1080,750x422,37,5165,5783,14.04.,14.43.,avc1.64002A,mp4a.40.2,Low Latency
1741450130834,1920x1080,1920x1080,750x422,37,5165,5783,14.04.,14.43.,avc1.64002A,mp4a.40.2,Low Latency
1741450131235,1920x1080,1920x1080,750x422,41,4931,5783,14.21.,14.30.,avc1.64002A,mp4a.40.2,Low Latency
1741450131636,1920x1080,1920x1080,750x422,41,4931,5783,14.21.,14.30.,avc1.64002A,mp4a.40.2,Low Latency
1741450132036,1920x1080,1920x1080,750x422,79,4931,5545,14.06.,14.30.,avc1.64002A,mp4a.40.2,Low Latency
1741450132436,1920x1080,1920x1080,750x422,79,4931,5545,14.06.,14.30.,avc1.64002A,mp4a.40.2,Low Latency
1741450132836,1920x1080,1920x1080,750x422,79,4931,5545,14.06.,14.30.,avc1.64002A,mp4a.40.2,Low Latency
1741450133237,1920x1080,1920x1080,750x422,83,4977,5545,14.27.,14.44.,avc1.64002A,mp4a.40.2,Low Latency
1741450133640,1920x1080,1920x1080,750x422,83,4977,5545,14.27.,14.44.,avc1.64002A,mp4a.40.2,Low Latency
1741450134042,1920x1080,1920x1080,750x422,83,4977,5545,14.27.,14.44.,avc1.64002A,mp4a.40.2,Low Latency
1741450134443,1920x1080,1920x1080,750x422,60,4977,5744,14.26.,14.44.,avc1.64002A,mp4a.40.2,Low Latency
1741450134843,1920x1080,1920x1080,750x422,60,4977,5744,14.26.,14.44.,avc1.64002A,mp4a.40.2,Low Latency
1741450135243,1920x1080,1920x1080,750x422,64,5349,5744,14.26.,14.56.,avc1.64002A,mp4a.40.2,Low Latency
1741450135646,1920x1080,1920x1080,750x422,64,5349,5744,14.26.,14.56.,avc1.64002A,mp4a.40.2,Low Latency
1741450136047,1920x1080,1920x1080,750x422,56,5349,5162,14.04.,14.56.,avc1.64002A,mp4a.40.2,Low Latency
1741450136447,1920x1080,1920x1080,750x422,56,5349,5162,14.04.,14.56.,avc1.64002A,mp4a.40.2,Low Latency
1741450136849,1920x1080,1920x1080,750x422,56,5349,5162,14.04.,14.56.,avc1.64002A,mp4a.40.2,Low Latency
1741450137249,1920x1080,1920x1080,750x422,56,4562,5162,14.29.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450137653,1920x1080,1920x1080,750x422,56,4562,5162,14.29.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450138054,1920x1080,1920x1080,750x422,57,4562,5296,14.11.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450138455,1920x1080,1920x1080,750x422,57,4562,5296,14.11.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450138857,1920x1080,1920x1080,750x422,57,4562,5296,14.11.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
