UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741553035708,1920x1080,1920x1080,750x422,31,7613,8148,23.17.,23.45.,avc1.64002A,mp4a.40.2,Low Latency
1741553036109,1920x1080,1920x1080,750x422,31,7613,8148,23.17.,23.45.,avc1.64002A,mp4a.40.2,Low Latency
1741553036512,1920x1080,1920x1080,750x422,26,7355,7829,23.14.,23.45.,avc1.64002A,mp4a.40.2,Low Latency
1741553036913,1920x1080,1920x1080,750x422,26,7355,7829,23.14.,23.45.,avc1.64002A,mp4a.40.2,Low Latency
1741553037313,1920x1080,1920x1080,750x422,26,7355,7829,23.14.,23.45.,avc1.64002A,mp4a.40.2,Low Latency
1741553037714,1920x1080,1920x1080,750x422,45,7355,7829,23.12.,23.31.,avc1.64002A,mp4a.40.2,Low Latency
1741553038116,1920x1080,1920x1080,750x422,45,7355,7829,23.12.,23.31.,avc1.64002A,mp4a.40.2,Low Latency
1741553038519,1920x1080,1920x1080,750x422,45,7626,7984,23.56.,23.31.,avc1.64002A,mp4a.40.2,Low Latency
1741553038920,1920x1080,1920x1080,750x422,45,7626,7984,23.56.,23.31.,avc1.64002A,mp4a.40.2,Low Latency
1741553039321,1920x1080,1920x1080,750x422,45,7626,7984,23.56.,23.31.,avc1.64002A,mp4a.40.2,Low Latency
1741553039723,1920x1080,1920x1080,750x422,58,7626,7984,24.36.,23.31.,avc1.64002A,mp4a.40.2,Low Latency
1741553040122,1920x1080,1920x1080,750x422,58,7626,7984,24.36.,23.31.,avc1.64002A,mp4a.40.2,Low Latency
1741553041324,1920x1080,1920x1080,750x422,79,7626,7984,23.52.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
1741553041725,1920x1080,1920x1080,750x422,49,7626,7984,22.49.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
1741553040523,1920x1080,1920x1080,750x422,79,7626,7984,23.52.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
