UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740558801072,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16043.424606323242
1740558801101,233,0.014,2,2.026,49.99,3,0.621,32919,32919,17229.080200195312
1740558801130,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16262.531280517578
1740558801159,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16322.135925292969
1740558801187,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16212.224960327148
1740558801215,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16043.663024902344
1740558801243,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15913.724899291992
1740558801271,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16119.241714477539
1740558801299,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15935.659408569336
1740558801327,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15817.642211914062
1740558801355,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15850.067138671875
1740558801382,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15633.821487426758
1740558801410,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16059.160232543945
1740558801438,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15667.200088500977
1740558801466,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15829.801559448242
1740558801494,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15564.441680908203
1740558801522,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15717.98324584961
1740558801550,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16014.337539672852
1740558801579,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16456.127166748047
1740558801615,233,0.014,2,2.026,49.99,3,0.621,32919,32919,24155.616760253906
1740558801644,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16374.826431274414
1740558801671,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15197.277069091797
1740558801699,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15742.778778076172
1740558801727,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16025.543212890625
1740558801755,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15965.22331237793
1740558801783,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15808.820724487305
1740558801810,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15562.295913696289
1740558801838,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15864.133834838867
1740558801867,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15894.412994384766
1740558801894,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15483.617782592773
1740558801922,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15660.285949707031
1740558801950,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16094.92301940918
1740558801979,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16347.169876098633
1740558802007,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16191.482543945312
1740558802034,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15500.068664550781
1740558802063,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16525.0301361084
