UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741452037045,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452037445,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452037845,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452038246,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452038647,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452039046,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452039446,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452039847,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452040247,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452040647,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452041049,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452041450,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452041853,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452042256,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452042657,640x360,640x360,750x422,N/A,496,16,14.86.,15.51.,avc1.4D401F,mp4a.40.2,Low Latency
1741452043056,640x360,640x360,750x422,31,508,16,14.99.,15.51.,avc1.4D401F,mp4a.40.2,Low Latency
1741452043458,640x360,640x360,750x422,31,508,16,14.99.,15.51.,avc1.4D401F,mp4a.40.2,Low Latency
1741452043859,640x360,640x360,750x422,15,508,16,15.02.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741452044259,640x360,640x360,750x422,15,508,16,15.02.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741452044663,640x360,640x360,750x422,15,508,16,15.02.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741452045064,640x360,640x360,750x422,34,582,2679,15.07.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741452045466,640x360,640x360,750x422,34,582,2679,15.07.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741452045867,640x360,640x360,750x422,30,582,2679,15.04.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452046268,640x360,640x360,750x422,30,582,2679,15.04.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452046668,640x360,640x360,750x422,30,582,2679,15.04.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452047069,640x360,640x360,750x422,28,550,1210,15.00.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452047469,640x360,640x360,750x422,28,550,1210,15.00.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452047872,640x360,640x360,750x422,34,550,1210,14.97.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741452048272,640x360,640x360,750x422,34,550,1210,14.97.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741452048676,640x360,640x360,750x422,34,550,1210,14.97.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741452049078,640x360,640x360,750x422,29,578,865,14.88.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741452049478,640x360,640x360,750x422,29,578,865,14.88.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741452049878,640x360,640x360,750x422,34,578,865,14.85.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452050279,640x360,640x360,750x422,34,578,865,14.85.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452050680,640x360,640x360,750x422,34,578,865,14.85.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452051080,640x360,640x360,750x422,30,554,787,14.80.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452051481,640x360,640x360,750x422,30,554,787,14.80.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741452051882,640x360,640x360,750x422,30,554,787,14.18.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452052283,640x360,640x360,750x422,30,554,787,14.18.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452052683,640x360,640x360,750x422,30,554,787,14.18.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452053084,640x360,640x360,750x422,10,554,744,14.97.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452053485,640x360,640x360,750x422,10,554,744,14.97.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452053885,640x360,640x360,750x422,45,577,744,15.53.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452054285,640x360,640x360,750x422,45,577,744,15.53.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452054685,640x360,640x360,750x422,45,577,744,15.53.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741452055086,640x360,640x360,750x422,34,557,982,15.54.,16.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741452055487,640x360,640x360,750x422,34,557,982,15.54.,16.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741452055890,640x360,640x360,750x422,43,557,982,15.44.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452056294,640x360,640x360,750x422,43,557,982,15.44.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452056694,640x360,640x360,750x422,43,557,982,15.44.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452057096,640x360,640x360,750x422,24,567,796,15.38.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452057498,640x360,640x360,750x422,24,567,796,15.38.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452057899,640x360,640x360,750x422,26,567,796,15.35.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452058299,640x360,640x360,750x422,26,567,796,15.35.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452058699,640x360,640x360,750x422,26,567,796,15.35.,15.96.,avc1.4D401F,mp4a.40.2,Low Latency
1741452059100,640x360,640x360,750x422,26,610,810,15.42.,16.07.,avc1.4D401F,mp4a.40.2,Low Latency
1741452059501,640x360,640x360,750x422,26,610,810,15.42.,16.07.,avc1.4D401F,mp4a.40.2,Low Latency
1741452059902,640x360,640x360,750x422,26,610,810,15.39.,15.92.,avc1.4D401F,mp4a.40.2,Low Latency
1741452060303,640x360,640x360,750x422,26,610,810,15.39.,15.92.,avc1.4D401F,mp4a.40.2,Low Latency
1741452060704,640x360,640x360,750x422,26,610,810,15.39.,15.92.,avc1.4D401F,mp4a.40.2,Low Latency
1741452061107,640x360,640x360,750x422,34,554,743,15.32.,15.92.,avc1.4D401F,mp4a.40.2,Low Latency
