UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741548031075,640x360,640x360,750x422,34,518,686,14.98.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741548031475,640x360,640x360,750x422,34,518,686,14.98.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741548031877,640x360,640x360,750x422,30,518,686,14.95.,15.53.,avc1.4D401F,mp4a.40.2,Low Latency
1741548032277,640x360,640x360,750x422,30,518,686,14.95.,15.53.,avc1.4D401F,mp4a.40.2,Low Latency
1741548032677,640x360,640x360,750x422,30,692,868,14.88.,15.53.,avc1.4D401F,mp4a.40.2,Low Latency
1741548033077,640x360,640x360,750x422,30,692,868,14.88.,15.53.,avc1.4D401F,mp4a.40.2,Low Latency
1741548033478,640x360,640x360,750x422,30,692,868,14.88.,15.53.,avc1.4D401F,mp4a.40.2,Low Latency
1741548033878,640x360,640x360,750x422,30,692,868,14.86.,15.41.,avc1.4D401F,mp4a.40.2,Low Latency
1741548034279,640x360,640x360,750x422,30,692,868,14.86.,15.41.,avc1.4D401F,mp4a.40.2,Low Latency
1741548034679,640x360,640x360,750x422,30,692,868,14.86.,15.41.,avc1.4D401F,mp4a.40.2,Low Latency
1741548035079,640x360,640x360,750x422,34,692,812,14.40.,15.41.,avc1.4D401F,mp4a.40.2,Low Latency
1741548035480,640x360,640x360,750x422,34,692,812,14.40.,15.41.,avc1.4D401F,mp4a.40.2,Low Latency
1741548035880,640x360,640x360,750x422,34,604,812,14.87.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741548036281,640x360,640x360,750x422,34,604,812,14.87.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741548036681,640x360,640x360,750x422,30,604,747,14.57.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741548037081,640x360,640x360,750x422,30,604,747,14.57.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741548037482,640x360,640x360,750x422,30,604,747,14.57.,15.59.,avc1.4D401F,mp4a.40.2,Low Latency
1741548037883,640x360,640x360,750x422,34,604,747,13.55.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741548038283,640x360,640x360,750x422,34,604,747,13.55.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741548038684,640x360,640x360,750x422,30,519,743,14.82.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741548039085,640x360,640x360,750x422,30,519,743,14.82.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741548039488,640x360,640x360,750x422,30,519,743,14.82.,15.44.,avc1.4D401F,mp4a.40.2,Low Latency
1741548039887,640x360,640x360,750x422,30,519,743,14.78.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548040287,640x360,640x360,750x422,30,519,743,14.78.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548040688,640x360,640x360,750x422,26,575,767,14.69.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548041088,640x360,640x360,750x422,26,575,767,14.69.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548041489,640x360,640x360,750x422,26,575,767,14.69.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
